Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),,
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),1,Yes
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),2,No
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),5,Yes LOGICALLY ASSIGNED (from skip pattern)
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),14,USED BLUNTS PST 30 DY/DIDNT USE CIGARS PST 30 DY
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),24,USED BLUNTS PST 30 DY/NEVER USED CIGARS
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),85,BAD DATA Logically assigned
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),91,NEVER USED CIGARS/BLUNTS
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),93,DID NOT USE CIGARS/BLUNTS IN THE PAST 30 DAYS
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),94,DON'T KNOW
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),97,REFUSED
BLNTNOMJ,SMOKE CIGARS WITH NO MARIJUANA PAST 30 DAYS,(BL07),98,BLANK (NO ANSWER)
COCEVER,EVER USED COCAINE,"(CC01, CCREF)",,
COCEVER,EVER USED COCAINE,"(CC01, CCREF)",1,Yes
COCEVER,EVER USED COCAINE,"(CC01, CCREF)",2,No
COCEVER,EVER USED COCAINE,"(CC01, CCREF)",94,DON'T KNOW
COCEVER,EVER USED COCAINE,"(CC01, CCREF)",97,REFUSED
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),,
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),RANGE,1 - 70
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),985,BAD DATA Logically assigned
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),991,NEVER USED COCAINE
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),994,DON'T KNOW
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),997,REFUSED
COCAGE,AGE WHEN FIRST USED COCAINE,(CC02),998,BLANK (NO ANSWER)
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",,
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",RANGE,2020 - 2022
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9985,BAD DATA Logically assigned
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9989,LEGITIMATE SKIP Logically assigned
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9991,NEVER USED COCAINE
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9994,DON'T KNOW
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9997,REFUSED
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9998,BLANK (NO ANSWER)
COCYFU,YEAR OF FIRST COCAINE USE - RECODE,"(CC03A, CC03B, CC03C)",9999,LEGITIMATE SKIP
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",,
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",1,January
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",2,February
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",3,March
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",4,April
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",5,May
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",6,June
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",7,July
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",8,August
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",9,September
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",10,October
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",11,November
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",12,December
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",85,BAD DATA Logically assigned
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",89,LEGITIMATE SKIP Logically assigned
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",91,NEVER USED COCAINE
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",94,DON'T KNOW
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",97,REFUSED
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",98,BLANK (NO ANSWER)
COCMFU,MONTH OF FIRST COCAINE USE - RECODE,"(CC03C, CC03D)",99,LEGITIMATE SKIP
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",,
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",1,Within the past 30 days
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",2,More than 30 days ago but within the past 12 mos
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",3,More than 12 months ago
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",8,Used at some point in the past 12 mos LOG ASSN
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",9,Used at some point in the lifetime LOG ASSN
COCREC,TIME SINCE LAST USED COCAINE,"(CCLAST3, CCRECDK, CCRECRE)",11,Used in the past 30 days LOGICALLY ASSIGNED
