Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,1,Segment in a CBSA with 1 million or more persons,
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,2,Segm. in a CBSA with fewer than 1 million persons,
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,3,Segment not in a CBSA,
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,1,Large Metro,
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,2,Small Metro,
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,3,Nonmetro,
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,,1,Segment in an American Indian area,
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,,2,Segment not in an American Indian area,
AIIND102,AMER INDIAN AREA INDICATOR,,1,Census block in an American Indian area,
AIIND102,AMER INDIAN AREA INDICATOR,,2,Census block not in an American Indian area,
AGE3,RECODE - FINAL EDITED AGE,,1,Respondent is 12 or 13 years old,
AGE3,RECODE - FINAL EDITED AGE,,2,Respondent is 14 or 15 years old,
AGE3,RECODE - FINAL EDITED AGE,,3,Respondent is 16 or 17 years old,
AGE3,RECODE - FINAL EDITED AGE,,4,Respondent is between 18 and 20 years old,
AGE3,RECODE - FINAL EDITED AGE,,5,Respondent is between 21 and 23 years old,
AGE3,RECODE - FINAL EDITED AGE,,6,Respondent is 24 or 25 years old,
AGE3,RECODE - FINAL EDITED AGE,,7,Respondent is between 26 and 29 years old,
AGE3,RECODE - FINAL EDITED AGE,,8,Respondent is between 30 and 34 years old,
AGE3,RECODE - FINAL EDITED AGE,,9,Respondent is between 35 and 49 years old,
AGE3,RECODE - FINAL EDITED AGE,,10,Respondent is between 50 and 64 years old,
AGE3,RECODE - FINAL EDITED AGE,,11,Respondent is 65 years old or older,
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),1,One time,
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),2,Two or more times,
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),94,DON'T KNOW,
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),97,REFUSED,
NOMARR2,NUMBER OF TIMES MARRIED,(QD08),99,LEGITIMATE SKIP,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),1,Yes,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),2,No,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),85,BAD DATA Logically assigned,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),94,DON'T KNOW,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),97,REFUSED,
SERVICE,EVER BEEN IN THE US ARMED FORCES,(QD09),99,LEGITIMATE SKIP,
MILSTAT,CURRENT MILITARY STATUS,(QD10),2,In a reserves component,
MILSTAT,CURRENT MILITARY STATUS,(QD10),3,Now separated/retired from reserves/active duty,
MILSTAT,CURRENT MILITARY STATUS,(QD10),85,BAD DATA Logically assigned,
MILSTAT,CURRENT MILITARY STATUS,(QD10),94,DON'T KNOW,
MILSTAT,CURRENT MILITARY STATUS,(QD10),97,REFUSED,
MILSTAT,CURRENT MILITARY STATUS,(QD10),99,LEGITIMATE SKIP,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),1,Yes,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),2,No,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),85,BAD DATA Logically assigned,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),94,DON'T KNOW,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),97,REFUSED,
ACTDEVER,EVER ON ACTIVE DUTY IN US MILITARY/RESERV,(QD10A),99,LEGITIMATE SKIP,
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),1,Yes,
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),2,No (not entered),
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),85,BAD DATA Logically assigned,
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),97,REFUSED,
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),98,BLANK (NO ANSWER),
ACTD2001,SEPTEMBER 2001 OR LATER,(QD10B1),99,LEGITIMATE SKIP,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),1,Yes,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),2,No (not entered),
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),85,BAD DATA Logically assigned,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),97,REFUSED,
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),98,BLANK (NO ANSWER),
ACTD9001,AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR),(QD10B2),99,LEGITIMATE SKIP,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),1,Yes,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),2,No (not entered),
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),85,BAD DATA Logically assigned,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),97,REFUSED,
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),98,BLANK (NO ANSWER),
ACTD7590,MAY 1975 TO JULY 1990,(QD10B3),99,LEGITIMATE SKIP,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),1,Yes,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),2,No (not entered),
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),85,BAD DATA Logically assigned,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),97,REFUSED,
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),98,BLANK (NO ANSWER),
ACTDVIET,VIETNAM ERA (MARCH 1961 TO APRIL 1975),(QD10B4),99,LEGITIMATE SKIP,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",1,Yes,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",2,No (not entered),
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",85,BAD DATA Logically assigned,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",97,REFUSED,
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",98,BLANK (NO ANSWER),
ACTDPRIV,ANY TIME BEFORE VIETNAM ERA (MARCH 1961),"(QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)",99,LEGITIMATE SKIP,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),1,YES,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),2,NO,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),85,BAD DATA Logically assigned,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),94,DON'T KNOW,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),97,REFUSED,
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),98,BLANK (NO ANSWER),
COMBATPY,EVER IN COMBAT ZONE ON ACTIVE DUTY,(QD10C),99,LEGITIMATE SKIP,
HEALTH,OVERALL HEALTH,(QD12),1,Excellent,
HEALTH,OVERALL HEALTH,(QD12),2,Very good,
HEALTH,OVERALL HEALTH,(QD12),3,Good,
HEALTH,OVERALL HEALTH,(QD12),4,Fair,
HEALTH,OVERALL HEALTH,(QD12),5,Poor,
HEALTH,OVERALL HEALTH,(QD12),94,DON'T KNOW,
HEALTH,OVERALL HEALTH,(QD12),97,REFUSED,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),0,0 times,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),1,One time,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),2,Two times,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),3,Three or more times,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),985,BAD DATA Logically assigned,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),994,DON'T KNOW,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),997,REFUSED,
MOVSINPYR2,# TIMES MOVED PAST 12 MONTHS- RECODED,(QD13),998,BLANK (NO ANSWER),
SEXATRACT,SEXUAL ATTRACTION,(QD62),1,I am only attracted to opposite sex,
SEXATRACT,SEXUAL ATTRACTION,(QD62),2,I am mostly attracted to opposite sex,
SEXATRACT,SEXUAL ATTRACTION,(QD62),3,I am equally attracted to males and females,
SEXATRACT,SEXUAL ATTRACTION,(QD62),4,I am mostly attracted to same sex,
SEXATRACT,SEXUAL ATTRACTION,(QD62),5,I am only attracted to same sex,
SEXATRACT,SEXUAL ATTRACTION,(QD62),6,I am not sure,
SEXATRACT,SEXUAL ATTRACTION,(QD62),85,BAD DATA Logically assigned,
SEXATRACT,SEXUAL ATTRACTION,(QD62),94,DON'T KNOW,
SEXATRACT,SEXUAL ATTRACTION,(QD62),97,REFUSED,
SEXATRACT,SEXUAL ATTRACTION,(QD62),98,BLANK (NO ANSWER),
SEXATRACT,SEXUAL ATTRACTION,(QD62),99,LEGITIMATE SKIP,
SEXIDENT,SEXUAL IDENTITY,(QD63),1,"Heterosexual, that is, straight",
SEXIDENT,SEXUAL IDENTITY,(QD63),2,Lesbian or Gay,
SEXIDENT,SEXUAL IDENTITY,(QD63),3,Bisexual,
SEXIDENT,SEXUAL IDENTITY,(QD63),85,BAD DATA Logically assigned,
SEXIDENT,SEXUAL IDENTITY,(QD63),94,DON'T KNOW,
SEXIDENT,SEXUAL IDENTITY,(QD63),97,REFUSED,
SEXIDENT,SEXUAL IDENTITY,(QD63),98,BLANK (NO ANSWER),
SEXIDENT,SEXUAL IDENTITY,(QD63),99,LEGITIMATE SKIP,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),1,Very well,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),2,Well,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),3,Not well,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),4,Not at all,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),85,BAD DATA Logically assigned,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),94,DON'T KNOW,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),97,REFUSED,
SPEAKENGL,HOW WELL SPEAK ENGLISH,(QD55),98,BLANK (NO ANSWER),
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),1,No Difficulty,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),2,Some difficulty,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),3,A lot of difficulty or cannot do at all,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),85,BAD DATA Logically assigned,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),94,DON'T KNOW,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),97,REFUSED,
LVLDIFSEE2,LEVEL OF DIFFICULTY SEEING EVEN WITH GLASSES,(SEE),98,BLANK (NO ANSWER),
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),1,No Difficulty,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),2,Some difficulty,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),3,A lot of difficulty or cannot do at all,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),85,BAD DATA Logically assigned,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),94,DON'T KNOW,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),97,REFUSED,
LVLDIFHEAR2,LEVEL OF DIFFICULTY HEARING EVEN WITH HEARING AIDS,(HEAR),98,BLANK (NO ANSWER),
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),1,No Difficulty,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),2,Some difficulty,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),3,A lot of difficulty or cannot do at all,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),85,BAD DATA Logically assigned,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),94,DON'T KNOW,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),97,REFUSED,
LVLDIFWALK2,LEVEL OF DIFFICULTY WALKING OR CLIMBING STEPS,(WALK),98,BLANK (NO ANSWER),
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),1,No Difficulty,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),2,Some difficulty,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),3,A lot of difficulty or cannot do at all,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),85,BAD DATA Logically assigned,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),94,DON'T KNOW,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),97,REFUSED,
LVLDIFMEM2,LEVEL OF DIFFICULTY REMEMBERING OR CONCENTRATING,(MEM),98,BLANK (NO ANSWER),
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),1,No Difficulty,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),2,Some difficulty,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),3,A lot of difficulty or cannot do at all,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),85,BAD DATA Logically assigned,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),94,DON'T KNOW,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),97,REFUSED,
LVLDIFCARE2,LEVEL OF DIFFICULTY WITH SELF-CARE,(CARE),98,BLANK (NO ANSWER),
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),1,No Difficulty,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),2,Some difficulty,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),3,A lot of difficulty or cannot do at all,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),85,BAD DATA Logically assigned,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),94,DON'T KNOW,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),97,REFUSED,
LVLDIFCOMM2,LEVEL OF DIFFICULTY COMMUNICATING USING YOUR USUAL LANGUAGE,(COMM),98,BLANK (NO ANSWER),
IRSEX,IMPUTATION REVISED GENDER,(QD01),1,Male,
IRSEX,IMPUTATION REVISED GENDER,(QD01),2,Female,
IRMARIT,IMPUTATION REVISED MARITAL STATUS,(QD01),1,Married,
IRMARIT,IMPUTATION REVISED MARITAL STATUS,(QD01),2,Widowed,
IRMARIT,IMPUTATION REVISED MARITAL STATUS,(QD01),3,Divorced or Separated,
IRMARIT,IMPUTATION REVISED MARITAL STATUS,(QD01),4,Never Been Married,
IRMARIT,IMPUTATION REVISED MARITAL STATUS,(QD01),99,LEGITIMATE SKIP Respondent is <,
IIMARIT,IMPUTATION INDICATOR MARITAL STATUS,(QD01),1,Marital status from questionnaire,
IIMARIT,IMPUTATION INDICATOR MARITAL STATUS,(QD01),3,Marital status statistically imputed,
IIMARIT,IMPUTATION INDICATOR MARITAL STATUS,(QD01),9,LEGITIMATE SKIP Respondent is <,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),1,Fifth grade or less grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),2,Sixth grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),3,Seventh grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),4,Eighth grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),5,Ninth grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),6,Tenth grade completed,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),7,"Eleventh or Twelfth grade completed, no diploma",
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),8,High school diploma/GED,
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),9,"Some college credit, but no degree",
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),10,"Associate's degree (for example, AA, AS)",
IREDUHIGHST2,EDUCATION - RECODED IMPUTATION REVISED,(QD01),11,College graduate or higher,
IIEDUHIGHST2,EDUCATION INDICATOR - IMPUTATION INDICATOR,(QD01),1,Education from questionnaire,
IIEDUHIGHST2,EDUCATION INDICATOR - IMPUTATION INDICATOR,(QD01),3,Education statistically imputed,
CATAGE,RC-AGE CATEGORY,(AGE3),1,12-17 Years Old,
CATAGE,RC-AGE CATEGORY,(AGE3),2,18-25 Years Old,
CATAGE,RC-AGE CATEGORY,(AGE3),3,26-34 Years Old,
CATAGE,RC-AGE CATEGORY,(AGE3),4,35 or Older,
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),(AGE3),1,12-17 Years Old,
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),(AGE3),2,18-25 Years Old,
CATAG2,RC-AGE CATEGORY RECODE (3 LEVELS),(AGE3),3,26 or Older,
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),(AGE3),1,12-17 Years Old,
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),(AGE3),2,18-25 Years Old,
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),(AGE3),3,26-34 Years Old,
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),(AGE3),4,35-49 Years Old,
CATAG3,RC-AGE CATEGORY RECODE (5 LEVELS),(AGE3),5,50 or Older,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),1,12-17 Years Old,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),2,18-25 Years Old,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),3,26-34 Years Old,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),4,35-49 Years Old,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),5,50-64 Years Old,
CATAG6,RC-AGE CATEGORY RECODE (6 LEVELS),(AGE3),6,65 or Older,
CATAG7,RC-AGE CATEGORY RECODE (7 LEVELS),(AGE3),1,12-13 Years Old,
