"","DEMOGRAPHICS","",""
"","Have you ever served on active duty in the United States Armed Forces or Reserve components?  Active duty does not include training for the","",""
"Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict.","","",""
"(
QD10A)","","",""
"ACTDEVER","Len : 2    EVER ON ACTIVE DUTY IN US MILITARY/RESERV","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","1984","3.36"
"","2 = No .................................................................................................................................","539","0.91"
"","85 = BAD DATA Logically assigned .................................................................................","19","0.03"
"","94 = DON'T KNOW ...........................................................................................................","1","0.00"
"","97 = REFUSED ..................................................................................................................","3","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","56523","95.69"
"W","hen did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.","",""
"(
QD10B1)","","",""
"ACTD2001","Len : 2    SEPTEMBER 2001 OR LATER","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","838","1.42"
"","2 = No (not entered) ............................................................................................................","1140","1.93"
"","85 = BAD DATA Logically assigned .................................................................................","19","0.03"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","5","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","57062","96.60"
"(
QD10B2)","","",""
"ACTD9001","Len : 2    AUG 1990 TO AUG 2001 (INCLUDING PERSIAN GULF WAR)","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","494","0.84"
"","2 = No (not entered) ............................................................................................................","1484","2.51"
"","85 = BAD DATA Logically assigned .................................................................................","20","0.03"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","4","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","57062","96.60"
"(
QD10B3)","","",""
"ACTD7590","Len : 2    MAY 1975 TO JULY 1990","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","436","0.74"
"","2 = No (not entered) ............................................................................................................","1541","2.61"
"","85 = BAD DATA Logically assigned .................................................................................","20","0.03"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","5","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","57062","96.60"
"(
QD10B4)","","",""
"ACTDVIET","Len : 2    VIETNAM ERA (MARCH 1961 TO APRIL 1975)","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","597","1.01"
"","2 = No (not entered) ............................................................................................................","1381","2.34"
"","85 = BAD DATA Logically assigned .................................................................................","20","0.03"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","4","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","57062","96.60"
"(
QD10B5, QD10B6, QD10B7, QD10B8, QD10B9)","","",""
"ACTDPRIV","Len : 2    ANY TIME BEFORE VIETNAM ERA (MARCH 1961)","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","114","0.19"
"","2 = No (not entered) ............................................................................................................","1863","3.15"
"","85 = BAD DATA Logically assigned .................................................................................","22","0.04"
"","97 = REFUSED ..................................................................................................................","5","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","3","0.01"
"","99 = LEGITIMATE SKIP ...................................................................................................","57062","96.60"
"Codebook Creation Date: 10/19/2023 ..................................................... 9","","",""
