Question_Code,Short_description,Answer_code,Answer_meaning,Long_description
MPRID,Master ID,,,Generated case (record) identifier. 
INSU,Facility is included in the substance use I-TF,1,Yes,
INSU,Facility is included in the substance use I-TF,M,Missing Data,
INMH,Facility is included in the mental health I-TF,1,Yes,
INMH,Facility is included in the mental health I-TF,M,Missing Data,
LOCATIONSTATE,Facility state,AK,Alaska,
LOCATIONSTATE,Facility state,AL,Alabama,
LOCATIONSTATE,Facility state,AR,Arkansas,
LOCATIONSTATE,Facility state,AZ,Arizona,
LOCATIONSTATE,Facility state,CA,California,
LOCATIONSTATE,Facility state,CO,Colorado,
LOCATIONSTATE,Facility state,CT,Connecticut,
LOCATIONSTATE,Facility state,DC,District of Columbia,
LOCATIONSTATE,Facility state,DE,Delaware,
LOCATIONSTATE,Facility state,FL,Florida,
LOCATIONSTATE,Facility state,GA,Georgia,
LOCATIONSTATE,Facility state,HI,Hawaii,
LOCATIONSTATE,Facility state,IA,Iowa,
LOCATIONSTATE,Facility state,ID,Idaho,
LOCATIONSTATE,Facility state,IL,Illinois,
LOCATIONSTATE,Facility state,IN,Indiana,
LOCATIONSTATE,Facility state,KS,Kansas,
LOCATIONSTATE,Facility state,KY,Kentucky,
LOCATIONSTATE,Facility state,LA,Louisiana,
LOCATIONSTATE,Facility state,MA,Massachusetts,
LOCATIONSTATE,Facility state,MD,Maryland,
LOCATIONSTATE,Facility state,ME,Maine,
LOCATIONSTATE,Facility state,MI,Michigan,
LOCATIONSTATE,Facility state,MN,Minnesota,
LOCATIONSTATE,Facility state,MO,Missouri,
LOCATIONSTATE,Facility state,MS,Mississippi,
LOCATIONSTATE,Facility state,MT,Montana,
LOCATIONSTATE,Facility state,NC,North Carolina,
LOCATIONSTATE,Facility state,ND,North Dakota,
LOCATIONSTATE,Facility state,NE,Nebraska,
LOCATIONSTATE,Facility state,NH,New Hampshire,
LOCATIONSTATE,Facility state,NJ,New Jersey,
LOCATIONSTATE,Facility state,NM,New Mexico,
LOCATIONSTATE,Facility state,NV,Nevada,
LOCATIONSTATE,Facility state,NY,New York,
LOCATIONSTATE,Facility state,OH,Ohio,
LOCATIONSTATE,Facility state,OK,Oklahoma,
LOCATIONSTATE,Facility state,OR,Oregon,
LOCATIONSTATE,Facility state,PA,Pennsylvania,
LOCATIONSTATE,Facility state,PR,Puerto Rico,
LOCATIONSTATE,Facility state,RI,Rhode Island,
LOCATIONSTATE,Facility state,SC,South Carolina,
LOCATIONSTATE,Facility state,SD,South Dakota,
LOCATIONSTATE,Facility state,TN,Tennessee,
LOCATIONSTATE,Facility state,TX,Texas,
LOCATIONSTATE,Facility state,UT,Utah,
LOCATIONSTATE,Facility state,VA,Virginia,
LOCATIONSTATE,Facility state,VT,Vermont,
LOCATIONSTATE,Facility state,WA,Washington,
LOCATIONSTATE,Facility state,WI,Wisconsin,
LOCATIONSTATE,Facility state,WV,West Virginia,
LOCATIONSTATE,Facility state,WY,Wyoming,
LOCATIONSTATE,Facility state,ZZ,Other Jurisdictions,
FOCUS,Primary treatment focus (Q.1),1,Substance use treatment services,
FOCUS,Primary treatment focus (Q.1),2,Mental health services,
