Question_Code,Description,Answer_Code,Answer_Meaning
V0001,V0001- Respondent ID (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0001B,V0001b - Respondent ID (anonymized),,
V0002,V0002 - acc_date: Interview Date (CAPI variable) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0003,V0003 - Review: Completed Interview Flag (CAPI variable),-9,Response missing due to CAPI issue
V0003,V0003 - Review: Completed Interview Flag (CAPI variable),-8,Skipped
V0003,V0003 - Review: Completed Interview Flag (CAPI variable),-2,Refusal
V0003,V0003 - Review: Completed Interview Flag (CAPI variable),-1,Don't Know
V0003,V0003 - Review: Completed Interview Flag (CAPI variable),1,Yes
V0004,V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable),-9,Response missing due to CAPI issue
V0004,V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable),-8,Skipped
V0004,V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable),-2,Refusal
V0004,V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable),-1,Don't Know
V0004,V0004 - IS_BGN: Interviewer Set-Up Section Begin Flag (CAPI variable),1,Yes
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),-9,Response missing due to CAPI issue
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),-8,Skipped
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),-2,Refusal
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),-1,Don't Know
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),1,Yes - Full Consent Obtained
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),2,Yes - Opt-out Consent Obtained
V0005,V0005 - IS0a: Inmate Consent Type (Full or Opt-Out) (CAPI variable),3,Inmate Refused - No Consent Obtained
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),-9,Response missing due to CAPI issue
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),-8,Skipped
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),-2,Refusal
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),-1,Don't Know
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),1,Yes
V0006,V0006 - IS4: Is an incentive being offered to inmates at this facility? (CAPI variable),2,No
V0007,V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable),-9,Response missing due to CAPI issue
V0007,V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable),-8,Skipped
V0007,V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable),-2,Refusal
V0007,V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable),-1,Don't Know
V0007,V0007 - IS_END: Interviewer Set-Up Section End Flag (CAPI variable),1,Yes
V0008,V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable),-9,Response missing due to CAPI issue
V0008,V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable),-8,Skipped
V0008,V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable),-2,Refusal
V0008,V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable),-1,Don't Know
V0008,V0008 - DEMO_BGN: Section 1 Demographics Begin Flag (CAPI variable),1,Yes
V0009,V0009 - DEMO1_Mo: Date of birth (mo) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0010,V0010 - DEMO1_Day: Date of birth (day) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0011,V0011 - DEMO1_Yr: Date of birth (yr) (suppressed in PUF and RUF),999,Variable Suppressed in PUF and RUF
V0012,V0012 - DEMO1a: Calculated age correct?,-9,Response missing due to CAPI issue
V0012,V0012 - DEMO1a: Calculated age correct?,-8,Skipped
V0012,V0012 - DEMO1a: Calculated age correct?,-2,Refusal
V0012,V0012 - DEMO1a: Calculated age correct?,-1,Don't Know
V0012,V0012 - DEMO1a: Calculated age correct?,1,Yes
V0012,V0012 - DEMO1a: Calculated age correct?,2,No
V0013,V0013 - DEMO1b: Age reported (if calculated age incorrect),-9,Response missing due to CAPI issue
V0013,V0013 - DEMO1b: Age reported (if calculated age incorrect),-8,Skipped
V0013,V0013 - DEMO1b: Age reported (if calculated age incorrect),-2,Refusal
V0013,V0013 - DEMO1b: Age reported (if calculated age incorrect),-1,Don't Know
V0014,V0014 - DEMO1c: 18 years or older?,-9,Response missing due to CAPI issue
V0014,V0014 - DEMO1c: 18 years or older?,-8,Skipped
V0014,V0014 - DEMO1c: 18 years or older?,-2,Refusal
V0014,V0014 - DEMO1c: 18 years or older?,-1,Don't Know
V0014,V0014 - DEMO1c: 18 years or older?,1,Yes
V0014,V0014 - DEMO1c: 18 years or older?,2,No
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),-9,Response missing due to CAPI issue
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),-8,Skipped
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),-2,Refusal
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),-1,Don't Know
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),1,Yes
V0015,V0015 - DEMO2: Spanish/Hispanic origin: Original (see V1951 for upcoded version),2,No
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),-9,Response missing due to CAPI issue
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),-8,Skipped
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),-2,Refusal
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),-1,Don't Know
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),1,Yes
V0016,V0016 - DEMO3a: Race category (White?): Original (see V1952 for upcoded version),2,No
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),-9,Response missing due to CAPI issue
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),-8,Skipped
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),-2,Refusal
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),-1,Don't Know
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),1,Yes
V0017,V0017 - DEMO3b: Race category (Black/African-American?): Original (see V1953 for upcoded version),2,No
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),-9,Response missing due to CAPI issue
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),-8,Skipped
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),-2,Refusal
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),-1,Don't Know
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),1,Yes
V0018,V0018 - DEMO3c: Race category (American Indian/Alaska Native?): Original (see V1954 for upcoded version),2,No
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),-9,Response missing due to CAPI issue
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),-8,Skipped
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),-2,Refusal
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),-1,Don't Know
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),1,Yes
V0019,V0019 - DEMO3d: Race category (Asian?): Original (see V1955 for upcoded version),2,No
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),-9,Response missing due to CAPI issue
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),-8,Skipped
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),-2,Refusal
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),-1,Don't Know
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),1,Yes
V0020,V0020 - DEMO3e: Race category (Native Hawaiian/Pacific Islander?): Original (see V1956 for upcoded version),2,No
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),-9,Response missing due to CAPI issue
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),-8,Skipped
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),-2,Refusal
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),-1,Don't Know
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),1,Yes
V0021,V0021 - DEMO3f: Race category (Anything else?): Original (see V1957 for upcoded version),2,No
V0022,V0022 - DEMO4: Marital Status,-9,Response missing due to CAPI issue
V0022,V0022 - DEMO4: Marital Status,-8,Skipped
V0022,V0022 - DEMO4: Marital Status,-2,Refusal
V0022,V0022 - DEMO4: Marital Status,-1,Don't Know
V0022,V0022 - DEMO4: Marital Status,1,Married
V0022,V0022 - DEMO4: Marital Status,2,Widowed
V0022,V0022 - DEMO4: Marital Status,3,Divorced
V0022,V0022 - DEMO4: Marital Status,4,"Separated, for reasons other than incarceration"
V0022,V0022 - DEMO4: Marital Status,5,Never Married
V0023,V0023 - DEMO5: Served in US Armed Forces?,-9,Response missing due to CAPI issue
V0023,V0023 - DEMO5: Served in US Armed Forces?,-8,Skipped
V0023,V0023 - DEMO5: Served in US Armed Forces?,-2,Refusal
V0023,V0023 - DEMO5: Served in US Armed Forces?,-1,Don't Know
V0023,V0023 - DEMO5: Served in US Armed Forces?,1,Yes
V0023,V0023 - DEMO5: Served in US Armed Forces?,2,No
V0024,V0024 - DEMO5a_1: Specify branch(es) served - Army,-9,Response missing due to CAPI issue
V0024,V0024 - DEMO5a_1: Specify branch(es) served - Army,-8,Skipped
V0024,V0024 - DEMO5a_1: Specify branch(es) served - Army,1,"Army, including the Army National Guard or Reserve"
V0024,V0024 - DEMO5a_1: Specify branch(es) served - Army,99,Blank
V0025,V0025 - DEMO5a_2: Specify branch(es) served - Navy,-9,Response missing due to CAPI issue
V0025,V0025 - DEMO5a_2: Specify branch(es) served - Navy,-8,Skipped
V0025,V0025 - DEMO5a_2: Specify branch(es) served - Navy,2,"Navy, including the Reserve"
V0025,V0025 - DEMO5a_2: Specify branch(es) served - Navy,99,Blank
V0026,V0026 - DEMO5a_3: Specify branch(es) served - Marine Corps,-9,Response missing due to CAPI issue
V0026,V0026 - DEMO5a_3: Specify branch(es) served - Marine Corps,-8,Skipped
V0026,V0026 - DEMO5a_3: Specify branch(es) served - Marine Corps,3,"Marine Corps, including the Reserve"
V0026,V0026 - DEMO5a_3: Specify branch(es) served - Marine Corps,99,Blank
V0027,V0027 - DEMO5a_4: Specify branch(es) served - Air Force,-9,Response missing due to CAPI issue
V0027,V0027 - DEMO5a_4: Specify branch(es) served - Air Force,-8,Skipped
V0027,V0027 - DEMO5a_4: Specify branch(es) served - Air Force,4,"Air Force, including the Air National Guard or Reserve"
V0027,V0027 - DEMO5a_4: Specify branch(es) served - Air Force,99,Blank
V0028,V0028 - DEMO5a_5: Specify branch(es) served - Coast Guard,-9,Response missing due to CAPI issue
V0028,V0028 - DEMO5a_5: Specify branch(es) served - Coast Guard,-8,Skipped
V0028,V0028 - DEMO5a_5: Specify branch(es) served - Coast Guard,5,"Coast Guard, including the Reserve"
V0028,V0028 - DEMO5a_5: Specify branch(es) served - Coast Guard,99,Blank
V0029,V0029 - DEMO5a_6: Specify branch(es) served - DK/RF,-9,Response missing due to CAPI issue
V0029,V0029 - DEMO5a_6: Specify branch(es) served - DK/RF,-8,Skipped
V0029,V0029 - DEMO5a_6: Specify branch(es) served - DK/RF,7,Don't Know
V0029,V0029 - DEMO5a_6: Specify branch(es) served - DK/RF,8,Refusal
V0029,V0029 - DEMO5a_6: Specify branch(es) served - DK/RF,9,Blank
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,-9,Response missing due to CAPI issue
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,-8,Skipped
V0030,V0030 - DEMO5a_7: Specify branch(es) served - Item Flag,0,Not answered due to question skip
