Question_Code,Short_Description,Long_Description,Answer_code,Answer_meaning
CASEID,Case identification number,Program generated case (record) identifier,,
DISYR,Year of discharge,Year of client's discharge from substance use treatment.,2021,2021
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,1,12-14 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,2,15-17 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,3,18-20 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,4,21-24 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,5,25-29 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,6,30-34 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,7,35-39 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,8,40-44 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,9,45-49 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,10,50-54 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,11,55-64 years old
AGE,Age at admission,Calculated from date of birth and date of admission and then categorized.,12,65 years and older
GENDER,Gender,This field identifies the client's biological sex.,1,Male
GENDER,Gender,This field identifies the client's biological sex.,2,Female
GENDER,Gender,This field identifies the client's biological sex.,-9,Missing/unknown/not collected/invalid
RACE,Race,"This field identifies the client's race: • Alaska Native (Aleut, Eskimo): A person having origins in any of the original people of Alaska. This category may be reported if available. • American Indian or Alaska Native: A person having origins in any of the original people of North America and South America (including Central America and the original peoples of Alaska) and who maintains Tribal affiliation or community attachment. States collecting Alaska Native information should use this category for all other American Indians. • Asian or Pacific Islander: A person having origins in any of the original people of the Far East, the Indian subcontinent, Southeast Asia, or the Pacific Islands. This category may be used only if a state does not collect Asian and Native Hawaiian or Other Pacific Islander information separately. • Black or African American: A person having origins in any of the black racial groups of Africa. • White: A person having origins in any of the original people of Europe, the Middle East, or North Africa. • Asian: A person having origins in any of the original people of the Far East, Southeast Asia, or the Indian subcontinent, including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam. • Other single race: Use this category for instances in which the client is not identified in any category above or whose origin group because of area custom is regarded as a racial class distinct from the above categories. • Two or more races: Use this code when the state data system allows multiple race selection and more than one race is indicated. • Native Hawaiian or Other Pacific Islander: A person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. Guidelines: If the state does not distinguish between American Indian and Alaska Native, code both as 2, American Indian. States that can separate 'Asian' and 'Native Hawaiian or Other Pacific Islander' should use codes 6 and 9 for those categories. States that cannot make the separation should use the combined code 3 until the separation becomes possible. Once a state begins using codes 6 and 9, code 3 should no longer be used by that state. States are asked to convert to the new categories when possible.",1,"Alaska Native (Aleut, Eskimo, Indian)"
