"H","<s>ave you ever, even once, used any prescription pain reliever in any way a doctor did not direct you to use it?</s>","",""
"(PRL01, PRL02)","","",""
"PNRNMLIF","Len : 2    EVER USED PAIN RELIEVER NOT DIRECTED BY DR","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","3105","5.26"
"","2 = No .................................................................................................................................","23092","39.09"
"","5 = Yes LOGICALLY ASSIGNED (from skip pattern) .....................................................","1743","2.95"
"","85 = BAD DATA Logically assigned .................................................................................","7","0.01"
"","91 = NEVER USED/MISUSED PAIN RELIEVERS .........................................................","30383","51.44"
"","94 = DON'T KNOW ...........................................................................................................","21","0.04"
"","97 = REFUSED ..................................................................................................................","13","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","705","1.19"
"I<s>n the past 12 months, did you use OxyContin in any way a doctor did not direct you to use it?</s>","","",""
"(PRY06)","","",""
"OXCNNMYR","Len : 2    USED OXYCONTIN NOT DIRECTED BY DR PAST 12 MOS","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","215","0.36"
"","2 = No .................................................................................................................................","272","0.46"
"","81 = NEVER MISUSED PAIN RLVRS Logically assigned ..............................................","2","0.00"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","91 = NEVER USED/MISUSED PAIN RELIEVERS .........................................................","53473","90.53"
"","93 = DID NOT USE IN THE PAST 12 MONTHS .............................................................","4986","8.44"
"","94 = DON'T KNOW ...........................................................................................................","2","0.00"
"","97 = REFUSED ..................................................................................................................","4","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","110","0.19"
"Please think about the first time you ever used OxyContin in a way a doctor did not direct you to use it.","","",""
"H<s>ow old were you when you first used OxyContin in a way a doctor did not direct you to use it?</s>","","",""
"(PRY06A)","","",""
"OXCNNMAGE","Len : 3    AGE 1ST USED OXYCONTIN NOT DIRECTED BY DR","",""
"","","Freq","Pct"
"","RANGE = 1 - 80 .................................................................................................................","210","0.36"
"","981 = NEVER USED PAIN RLVRS Logically assigned ...................................................","2","0.00"
"","985 = BAD DATA Logically assigned ...............................................................................","1","0.00"
"","991 = NEVER USED/MISUSED PAIN RELIEVERS .......................................................","53473","90.53"
"","993 = DID NOT USE IN THE PAST 12 MONTHS ...........................................................","5258","8.90"
"","994 = DON'T KNOW .........................................................................................................","4","0.01"
"","997 = REFUSED ................................................................................................................","1","0.00"
"","998 = BLANK (NO ANSWER)..........................................................................................","120","0.20"
"D","id you first use OxyContin in a way a doctor did not direct you to use it in [CURRENT YEAR - 1] or [CURRENT YEAR]?","",""
"<s>Did you first use OxyContin in a way a doctor did not direct you to use it in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]?</s>","","",""
"(PRY06B, PRY06C, PRY06D)","","",""
"OXCNNMYFU","Len : 4    YEAR 1ST USED OXYCONTIN NOT DIRECTED BY DR","",""
"","","Freq","Pct"
"","RANGE = 2020 - 2022 .......................................................................................................","42","0.07"
"","9981 = NEVER USED PAIN RLVRS Logically assigned .................................................","2","0.00"
"","9989 = LEGITIMATE SKIP Logically assigned ................................................................","1","0.00"
"","9991 = NEVER USED/MISUSED PAIN RELIEVERS .....................................................","53473","90.53"
"","9993 = DID NOT USE IN THE PAST 12 MONTHS .........................................................","5258","8.90"
"","9998 = BLANK (NO ANSWER) ........................................................................................","127","0.22"
"","9999 = LEGITIMATE SKIP ...............................................................................................","166","0.28"
