"A<s>re you currently pregnant?</s>","","",""
"(HLTH02)","","",""
"PREGNANT","Len : 2    ARE YOU PREGNANT","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","697","1.18"
"","2 = No .................................................................................................................................","22845","38.68"
"","85 = BAD DATA Logically assigned .................................................................................","4","0.01"
"","94 = DON'T KNOW ...........................................................................................................","24","0.04"
"","97 = REFUSED ..................................................................................................................","13","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","343","0.58"
"","99 = LEGITIMATE SKIP ...................................................................................................","35143","59.49"
"N","OTE: In the variable HTANSWER, reported preferences to answer in feet and inches or in inches only were combined into a single value.","",""
"Reported preferences to answer in meters and centimeters or in centimeters only were combined into a single value.","","",""
"This question asks about your height.","","",""
"","To answer in feet and inches, press 1. To answer in meters and centimeters, press 2. To answer in inches only, press 3. To answer in centimeters","",""
"only, press 4. Then press [ENTER] to continue.","","",""
"(HLTH04)","","",""
"HTANSWER<s>1</s>","Len : 2    PREFERRED WAY TO REPORT HEIGHT","",""
"","","Freq","Pct"
"","1 = Feet/inches or inches only .............................................................................................","55628","94.17"
"","2 = Meters/cm or cm only ...................................................................................................","1896","3.21"
"","85 = BAD DATA Logically assigned .................................................................................","22","0.04"
"","94 = DON'T KNOW ...........................................................................................................","486","0.82"
"","97 = REFUSED ..................................................................................................................","260","0.44"
"","98 = BLANK (NO ANSWER) ...........................................................................................","777","1.32"
"N","OTE: HTINCHE2 was recoded to inches from reports of heights in feet and inches, meters and centimeters, or centimeters only. Heights in meters","",""
"and centimeters first were converted to centimeters. For respondents who chose to report their height in metric units, a conversion factor was","","",""
"applied of 0.393701 inches to 1 centimeter to produce a height in inches. HTINCHE2 was then rounded to the nearest integer and top coded at 75","","",""
"inches and bottom coded at 55 inches.","","",""
"About how tall are you, without shoes? First, please type in the number of feet, then press [ENTER].","","",""
"Please type in the number of inches and then press [ENTER].","","",""
"About how tall are you, without shoes? First, please type in the number of meters, then press [ENTER].","","",""
"Please type in the number of centimeters and then press [ENTER].","","",""
"(HLTH05, HLTH06A, HLTH06B, HLTH07, HLTH08A, HLTH08B)","","",""
"HTINCHE2<s>1</s>","Len : 3    HEIGHT IN INCHES WITHOUT SHOES - RECODE","",""
"","","Freq","Pct"
"","RANGE = 55 - 75 ...............................................................................................................","56707","96.00"
"","985 = BAD DATA Logically assigned ...............................................................................","211","0.36"
"","994 = DON'T KNOW .........................................................................................................","996","1.69"
"","997 = REFUSED ................................................................................................................","376","0.64"
"","998 = BLANK (NO ANSWER)..........................................................................................","779","1.32"
