"HALLUCINOGENS","",""
"6077 = San Pedro ................................................................................................................","3","0.01"
"6083 = CCC, ""Triple C,"" C3 <OTC> ..................................................................................","6","0.01"
"6100 = 2C-T-7, T7, blue mystic ..........................................................................................","1","0.00"
"6103 = Ayahuasca, Yahe ....................................................................................................","27","0.05"
"6105 = Alpha-methyltryptamine, AMT, IT-290, 3-IT .........................................................","1","0.00"
"6126 = 2,5-Dimethoxy-4-iodophenethylamine, 2C-I ..........................................................","13","0.02"
"6132 = Amanita mushrooms, fly agaric, muscimol .............................................................","1","0.00"
"6134 = Anadenanthrea colubrina, cohoba, vilca .................................................................","1","0.00"
"6138 = 2C-E, 2-5-Dimethoxy-4-ethyl-phenethylamine .......................................................","12","0.02"
"6141 = DPT, Dipropyltryptamine, N,N-Dipropyltryptamine ..............................................","1","0.00"
"6171 = 4-acetoxy-N,N-dimethyltryptamine, 4-AcO-DMT ..................................................","6","0.01"
"6173 = 2,5-dimethoxy-4-bromoamphetamine, DOB ...........................................................","1","0.00"
"6181 = 4-HO-MET, 4-Hydroxy-N-methyl-N-ethytryptamine .............................................","4","0.01"
"6185 = 25I-NBOMe, 2C-I-NBOMe, BOM-CI, Cimbi-5 .....................................................","6","0.01"
"6186 = 3-MeO-2-Oxo-PCE, MXE, Methoxetamine ...........................................................","2","0.00"
"6187 = Mugwort .................................................................................................................","2","0.00"
"6189 = 25C-NBOMe, 2C-C-NBOMe, NBOMe-2C-C, N-Bomb ........................................","2","0.00"
"6197 = 2C-C, 4-chloro-2,5-dimethoxyphenethylamine .......................................................","1","0.00"
"6203 = NBOMe; otherwise unspecified ..............................................................................","3","0.01"
"6208 = 3-MeO-PCP, 3-Methoxyphencyclidine ...................................................................","1","0.00"
"6209 = 1P-LSD ...................................................................................................................","1","0.00"
"6213 = Synthetic LSD/acid; otherwise unspecified .............................................................","1","0.00"
"6219 = Hallucinogenic honey; type unspecified .................................................................","1","0.00"
"6232 = 2-FDCK, 2-Fluorodeschloroketamine, Fluoroketamine ..........................................","1","0.00"
"6238 = Curcumin, turmeric .................................................................................................","1","0.00"
"6244 = Synthetic molly; otherwise unspecified...................................................................","1","0.00"
"8007 = Gabapentin, Neurontin ............................................................................................","1","0.00"
"8012 = Coriciden <OTC> ...................................................................................................","2","0.00"
"8100 = Kava Kava <OTC> .................................................................................................","1","0.00"
"8192 = Delsym, Dextromethorphan polistirex <OTC> .......................................................","1","0.00"
"8237 = Kratom ....................................................................................................................","3","0.01"
"8240 = Lamictal, Lamotrigine .............................................................................................","1","0.00"
"8282 = Saline solution, salt, sodium chloride <OTC> ........................................................","1","0.00"
"8283 = Synthetic cannabinoids (eg, K2, Spice, JWH-018) .................................................","8","0.01"
"8301 = Bath salts/synthetic cathinone; otherwise unspcfd ..................................................","3","0.01"
"8309 = Mucinex <OTC> .....................................................................................................","1","0.00"
"8315 = Synthetic cannabis/cannabinoid, otherwise unspcfd ...............................................","1","0.00"
"8389 = CBD/hemp oil/edibles/vape (not marijuana) <OTC> ..............................................","1","0.00"
"8447 = Aricept, donepezil ...................................................................................................","1","0.00"
"8448 = Phenethylamine analogue; otherwise unspecified ...................................................","1","0.00"
"8456 = Dokha (tobacco and herbs/spices mixture) ..............................................................","1","0.00"
"8545 = Dimenhydrinate,Dramamine,sea/motion sickness <OTC> .....................................","3","0.01"
"8553 = Bupropion, Wellbutrin, Zyban ................................................................................","1","0.00"
"9985 = BAD DATA Logically assigned .............................................................................","18","0.03"
"9991 = NEVER USED HALLUCINOGENS .....................................................................","49509","83.82"
"9997 = REFUSED ..............................................................................................................","22","0.04"
"9998 = BLANK (NO ANSWER) ........................................................................................","111","0.19"
"9999 = LEGITIMATE SKIP ...............................................................................................","8825","14.94"
