"<s>In what month in [YEAR FROM ME03a or ME03b] did you first use methamphetamine?</s>","","",""
"(ME03C, ME03D)","","",""
"METHAMMFU","Len : 2    MONTH 1ST USED METHAMPHETAMINE","",""
"","","Freq","Pct"
"","1 = January..........................................................................................................................","8","0.01"
"","2 = February ........................................................................................................................","5","0.01"
"","3 = March............................................................................................................................","7","0.01"
"","4 = April .............................................................................................................................","2","0.00"
"","5 = May ...............................................................................................................................","4","0.01"
"","6 = June ...............................................................................................................................","7","0.01"
"","7 = July ...............................................................................................................................","8","0.01"
"","8 = August ..........................................................................................................................","6","0.01"
"","9 = September .....................................................................................................................","6","0.01"
"","10 = October .......................................................................................................................","5","0.01"
"","11 = November ...................................................................................................................","3","0.01"
"","12 = December ....................................................................................................................","3","0.01"
"","85 = BAD DATA Logically assigned .................................................................................","10","0.02"
"","89 = LEGITIMATE SKIP Logically assigned ....................................................................","5","0.01"
"","91 = NEVER USED METHAMPHETAMINE ..................................................................","56325","95.35"
"","94 = DON'T KNOW ...........................................................................................................","23","0.04"
"","97 = REFUSED ..................................................................................................................","8","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","67","0.11"
"","99 = LEGITIMATE SKIP ...................................................................................................","2567","4.35"
"H<s>ow long has it been since you last used methamphetamine?</s>","","",""
"(MELAST3, MERECDK, MERECRE)","","",""
"METHAMREC","Len : 2    TIME SINCE LAST USED METHAMPHETAMINE","",""
"","","Freq","Pct"
"","1 = Within the past 30 days .................................................................................................","295","0.50"
"","2 = More than 30 days ago but within the past 12 mos .......................................................","203","0.34"
"","3 = More than 12 months ago .............................................................................................","2151","3.64"
"","8 = Used at some point in the past 12 mos LOG ASSN ......................................................","10","0.02"
"","9 = Used at some point in lifetime LOG ASSN ..................................................................","13","0.02"
"","11 = Used in the past 30 days LOGICALLY ASSIGNED ..................................................","2","0.00"
"","91 = NEVER USED METHAMPHETAMINE ..................................................................","56325","95.35"
"","97 = REFUSED ..................................................................................................................","4","0.01"
"","98 = BLANK (NO ANSWER) ...........................................................................................","66","0.11"
"(TOTME)","","",""
"METHAMYFQ","Len : 3    TOTAL # DAYS USED METHAMPHETAMINE PAST 12 MONTHS","",""
"","","Freq","Pct"
"","RANGE = 1 - 365 ...............................................................................................................","495","0.84"
"","985 = BAD DATA Logically assigned ...............................................................................","10","0.02"
"","991 = NEVER USED METHAMPHETAMINE ................................................................","56325","95.35"
"","993 = DID NOT USE METHAMPHETAMINE IN THE PAST 12 MOS ..........................","2151","3.64"
"","994 = DON'T KNOW .........................................................................................................","2","0.00"
"","997 = REFUSED ................................................................................................................","7","0.01"
"","998 = BLANK (NO ANSWER)..........................................................................................","79","0.13"
"METOTFG","Len : 2    TRIMMING INDICATOR FOR METHAMYFQ","",""
"","","Freq","Pct"
"","2 = Trimmed relative to the 30-day freq .............................................................................","10","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","59059","99.98"
"MEFQFLG","Len : 2    TRIMMED METHAMYFQ IF R USED < 12 MOS","",""
"","","Freq","Pct"
"","1 = Trimmed to be consistent with mo/yr of 1st use ...........................................................","12","0.02"
"","98 = BLANK (NO ANSWER) ...........................................................................................","59057","99.98"
