"O<s>n the days that you smoke, how soon after you wake up do you have your first cigarette?</s>","","",""
"(DRCGE19A, DRCGE19B)","","",""
"CIGWAKE<s>1</s>","Len : 2    HOW SOON AFTER WAKING DO YOU HAVE YOUR FIRST CIG","",""
"","","Freq","Pct"
"","1 = Within the first 5 minutes after you wake up ................................................................","1416","2.40"
"","2 = Between 6 and 30 minutes after you wake up ...............................................................","1886","3.19"
"","3 = Between 31 and 60 minutes after you wake up .............................................................","1120","1.90"
"","4 = More than 60 minutes after you wake up ......................................................................","2505","4.24"
"","85 = BAD DATA Logically assigned .................................................................................","5","0.01"
"","91 = NEVER USED CIGARETTES...................................................................................","34135","57.79"
"","93 = DID NOT USE CIGARETTES IN THE PAST 30 DAYS ..........................................","17709","29.98"
"","94 = DON'T KNOW ...........................................................................................................","94","0.16"
"","97 = REFUSED ..................................................................................................................","77","0.13"
"","98 = BLANK (NO ANSWER) ...........................................................................................","122","0.21"
"N","OTE: The following dependence variables were defined based on the dependence criteria according to the Nicotine Dependence Syndrome Scale","",""
"(NDSS) and the Fagerstrom Test of Nicotine Dependence (FTND) for respondents who smoked cigarettes in the past month (i.e., CIGMON=1).","","",""
"The NDSS criteria for dependence was based on 17 questions pertaining to five aspects of dependence. Based on the NDSS, a respondent was","","",""
"defined as having nicotine dependence, NDSSDEPND=1, if the sum of the valid responses (based on actual reporting) was greater than or equal to","","",""
"","46.75. The FTND measure is defined by assessing how soon after waking a respondent had their first cigarette (CIGWAKE). Based on the FTND","",""
"","scale, a respondent was defined as having nicotine dependence, FTNDDEPND=1, if the first cigarette was smoked within 30 minutes of waking up","",""
"","on the days they smoked (CIGWAKE=1 or 2) and the respondent smoked cigarettes in the past month (CIGMON=1). Based on the NDSS and the","",""
"","FTND, a respondent who smoked cigarettes in the past month was defined as having nicotine dependence, PMNICDEP=1, if they met either the","",""
"<s>NDSS or the FTND criteria for dependence. Specific details are provided in the Nicotine Dependence and Substance Use Disorder appendix.</s>","","",""
"(","CIGAVOID, CIGCRAGP, CIGCRAVE, CIGINCRS, CIGINCTL, CIGINFLU, CIGIRTBL, CIGLOTMR, CIGMON, CIGNMCHG, CIGNOINF,","",""
"CIGPLANE, CIGREGDY, CIGREGNM, CIGREGWK, CIGRNOUT, CIGSATIS, CIGSVLHR)","","",""
"NDSSDEPND<s>1</s>","Len : 1    NICOTINE DEPENDENCE BASED ON NDSS SCORE","",""
"","","Freq","Pct"
"",". = Unknown (Otherwise)....................................................................................................","153","0.26"
"","0 = No .................................................................................................................................","4383","7.42"
"","1 = Yes ................................................................................................................................","2679","4.54"
"","9 = DID NOT USE CIGARETTES IN THE PAST MONTH .............................................","51854","87.79"
"(CIGMON, CIGWAKE)","","",""
"FTNDDEPND<s>1</s>","Len : 1    NICOTINE DEPENDENCE BASED ON FTND SCALE","",""
"","","Freq","Pct"
"",". = Unknown (Otherwise)....................................................................................................","288","0.49"
"","0 = No .................................................................................................................................","3625","6.14"
"","1 = Yes ................................................................................................................................","3302","5.59"
"","9 = DID NOT USE CIGARETTES IN THE PAST MONTH .............................................","51854","87.79"
"(FTNDDEP, NDSSDEP)","","",""
"PMNICDEP<s>1</s>","Len : 1    NICOTINE DEPENDENCE IN PAST MONTH","",""
"","","Freq","Pct"
"",". = Unknown (Otherwise)....................................................................................................","289","0.49"
"","0 = No .................................................................................................................................","2980","5.04"
"","1 = Yes ................................................................................................................................","3946","6.68"
"","9 = DID NOT USE CIGARETTES IN THE PAST MONTH .............................................","51854","87.79"
