"","RECODED ADULT MENTAL HEALTH","",""
"RECODED ADULT MENTAL HEALTH","","",""
"N","OTE: The following variable, KSSLR6MON, is a score with values ranging from 0 to 24 indicating the level of psychological distress over the","",""
"","past 30 days (past month). This variable is based on imputed data collected from a series of six questions known as the K6, asking adult respondents","",""
"","how frequently they experienced symptoms of psychological distress during the past 30 days. These questions include the following symptoms of","",""
"","distress: feeling nervous (IRDSTNRV30), feeling hopeless (IRDSTHOP30), feeling restless or fidgety (IRDSTRST30), feeling so sad or depressed","",""
"","that nothing could cheer you up (IRDSTCHR30), feeling that everything was an effort (IRDSTEFF30), and feeling down on yourself, no good, or","",""
"","worthless (IRDSTNGD30). For each of the six items listed above, responses of ""all of the time"" were coded 4, ""most of the time"" were coded 3,","",""
"","""some of the time"" were coded 2, ""a little of the time"" were coded 1, and ""none of the time"" were coded 0. These assigned values were summed","",""
"","across the six items to calculate a total score for KSSLR6MON. Specific details about this variable are provided in the Recoded Mental Health","",""
"<s>Appendix.</s>","","",""
"(IRDSTCHR30, IRDSTEFF30, IRDSTHOP30, IRDSTNGD30, IRDSTNRV30, IRDSTRST30)","","",""
"KSSLR6MON","Len : 2    RC-K6 TOTAL SCORE IN PAST MONTH","",""
"","","Freq","Pct"
"","RANGE = 0 - 24 .................................................................................................................","47100","79.74"
"",". = Aged 12-17 ....................................................................................................................","11969","20.26"
"(KSSLR6MON)","","",""
"SPDPSTMON","Len : 1    RC-PAST MONTH SERIOUS PSCYHOLOGICAL DISTRESS INDICATOR","",""
"","","Freq","Pct"
"",". = Aged 12-17 ....................................................................................................................","11969","20.26"
"","0 = No (KSSLR6MON<13) ................................................................................................","41995","71.09"
"","1 = Yes (KSSLR6MON>=13) ............................................................................................","5105","8.64"
"N","OTE: The following variable, KSSLR6YR, is a score with values ranging from 0 to 24 indicating the level of psychological distress during the","",""
"","worst month of the past year, that was not the past 30 days. This variable is only defined for respondents who reported that there was a month in the","",""
"","past 12 months when he/she was more depressed, anxious, or emotionally stressed than during the past 30 days (IRDSTWORST=1). This score","",""
"","variable is based on imputation-revised values for a series of six questions asking respondents how frequently they experienced symptoms of","",""
"","psychological distress during their worst month in the past year (only if the worst month was not the past 30 days). These questions are from the K6","",""
"and include the following symptoms of distress: feeling nervous (IRDSTNRV12), feeling hopeless (IRDSTHOP12), feeling restless or fidgety","","",""
"","(IRDSTRST12), feeling so sad or depressed that nothing could cheer them up (IRDSTCHR12), feeling that everything was an effort","",""
"","(IRDSTEFF12), and feeling down on themselves, no good, or worthless (IRDSTNGD12). For each of the six items listed above, responses of ""all","",""
"","of the time"" were coded 4, ""most of the time"" were coded 3, ""some of the time"" were coded 2, ""a little of the time"" were coded 1, and ""none of the","",""
"","time"" were coded 0. These assigned values were summed across the six items to calculate a total score for KSSLR6YR. For respondents who","",""
"","indicated that they did not have a month in the past year worse than the past 30 days, KSSLR6YR was set to missing. Specific details about this","",""
"<s>variable are provided in the Recoded Mental Health Appendix.</s>","","",""
"(IRDSTCHR12, IRDSTEFF12, IRDSTHOP12, IRDSTNGD12, IRDSTNRV12, IRDSTRST12, IRDSTWORST)","","",""
"KSSLR6YR","Len : 2    RC-K6 TOTAL SCORE IN PAST YEAR","",""
"","","Freq","Pct"
"","RANGE = 0 - 24 .................................................................................................................","16507","27.95"
"",". = Aged 12-17 or IRDSTWORST=2 ..................................................................................","42562","72.05"
"N","OTE: The following variable, KSSLR6MAX, is defined to be the higher K6 score between the past month K6 total score (KSSLR6MON)","",""
"","<s>variable, and the K6 total score in the worst month of the past year if the worst month was not the past 30 days (KSSLR6YR) variable.</s>","",""
"(KSSLR6MON, KSSLR6YR)","","",""
"KSSLR6MAX","Len : 2    RC-WORST K6 TOTAL SCORE IN PAST YEAR","",""
"","","Freq","Pct"
"","RANGE = 0 - 24 .................................................................................................................","47100","79.74"
"",". = Aged 12-17 ....................................................................................................................","11969","20.26"
"(KSSLR6MAX)","","",""
"SPDPSTYR","Len : 1    RC-PAST YEAR SERIOUS PSCYHOLOGICAL DISTRESS INDICATOR","",""
"","","Freq","Pct"
"",". = Aged 12-17 ....................................................................................................................","11969","20.26"
"","0 = No (KSSLR6MAX<13) ................................................................................................","37773","63.95"
"","1 = Yes (KSSLR6MAX>=13) ............................................................................................","9327","15.79"
"Codebook Creation Date: 10/19/2023 ................................................. 462","","",""
