"<s>You thought no one would care if you got better.</s>","","",""
"(TXMHNOR)","","",""
"MHTUNCARE","Len : 2    UNMET MH TRMT NEED: NO ONE WOULD CARE IF YOU GOT BETTER","",""
"","","Freq","Pct"
"","1 = Yes ................................................................................................................................","784","1.33"
"","2 = No .................................................................................................................................","3032","5.13"
"","94 = DON'T KNOW ...........................................................................................................","50","0.08"
"","97 = REFUSED ..................................................................................................................","18","0.03"
"","98 = BLANK (NO ANSWER) ...........................................................................................","1194","2.02"
"","99 = LEGITIMATE SKIP ...................................................................................................","53991","91.40"
