variable_name,page_number
UDMJTRYSTOP,283
UDSTWDTIRED,344
WRKDPSTWK,21
UDMJWANTBAD,282
UDSTWORKPRB,343
WRKDPSTYR,23
UDMJWDANGRY,286
UDSTWSHSTOP,341
WRKDRGALB,25
UDMJWDAPPET,287
UDSVAVOIDWD,354
WRKDRGEDU,25
UDMJWDCHILL,289
UDSVAVWALCO,354
WRKDRGHLP,25
UDMJWDDEPRS,287
UDSVAVWOTHR,355
WRKDRGPOL,24
UDMJWDFEVER,288
UDSVAVWSVTR,354
WRKEFFORT,22
UDMJWDFLANX,286
UDSVFMLYCTD,352
WRKHADJOB,21
UDMJWDHEDAC,289
UDSVFMLYPRB,351
WRKLASTYR2,24
UDMJWDSHAKE,288
UDSVGETHURT,352
WRKNJBPYR,23
UDMJWDSITST,287
UDSVHLTHCTD,350
WRKNJBWKS,23
UDMJWDSLEEP,287
UDSVHLTHPRB,349
WRKNUMJOB2,23
UDMJWDSTMCH,288
UDSVLESSEFF,348
WRKOKPREH,26
UDMJWDSWEAT,288
UDSVLRGAMTS,347
WRKOKRAND,26
UDMJWORKPRB,285
UDSVMNTLCTD,350
WRKRSNJOB,22
UDMJWSHSTOP,283
UDSVMNTLPRB,350
WRKRSNNOT,22
UDPRAVOIDWD,330
UDSVNEEDMOR,348
WRKSELFEM,23
UDPRAVWHERN,331
UDSVNOTSTOP,349
WRKSICKMO,24
UDPRAVWOTHR,331
UDSVSTOPACT,351
WRKSKIPMO,24
UDPRAVWPNRL,331
UDSVSTRURGE,348
WRKSTATWK2,21
UDPRFMLYCTD,328
UDSVTIMEGET,347
WRKTST1ST,26
UDPRFMLYPRB,327
UDSVTIMEUSE,347
WRKTSTALC,25
UDPRGETHURT,328
UDSVTRYSTOP,349
WRKTSTDRG,25
UDPRHLTHCTD,326
UDSVWANTBAD,348
WRKTSTHIR,26
UDPRHLTHPRB,325
UDSVWDFLANX,354
WRKTSTRDM,26
UDPRLESSEFF,324
UDSVWDHALUC,353
WTANSWER,528
UDPRLRGAMTS,323
UDSVWDSITST,353
WTPOUND2,528
UDPRMNTLCTD,326
UDSVWDSLEEP,353
YALTMDE,512
UDPRMNTLPRB,326
UDSVWDSWEAT,352
YCOUNMDE,511
UDPRNEEDMOR,324
UDSVWDTRMBL,352
YDOCMDE,511
UDPRNOTSTOP,325
UDSVWDVOMIT,353
YEATNDYR,419
UDPRSTOPACT,327
UDSVWORKPRB,351
YECIGFRNDOF2,421
UDPRSTRURGE,324
UDSVWSHSTOP,349
YECIGNEXTYR2,421
UDPRTIMEGET,323
UDTRAVOIDWD,338
YECOMACT,431
UDPRTIMEUSE,323
UDTRAVWALCO,339
YEDECLAS,432
UDPRTRYSTOP,325
UDTRAVWOTHR,339
YEDERGLR,432
UDPRWANTBAD,324
UDTRAVWSVTR,338
YEDESPCL,432
UDPRWDCRAMP,329
UDTRFMLYCTD,336
YEDGPRGP,430
UDPRWDDIARR,329
UDTRFMLYPRB,336
YEFAIACT,431
UDPRWDFEVER,330
UDTRGETHURT,336
YEFALDLY,428
UDPRWDFLBLU,328
UDTRHLTHCTD,334
YEFMJEVR,428
UDPRWDRUNNY,329
UDTRHLTHPRB,334
YEFMJMO,428
UDPRWDSLEEP,330
UDTRLESSEFF,333
YEFPKCIG,428
UDPRWDSWEAT,329
UDTRLRGAMTS,332
YEGALDLY,427
UDPRWDVOMIT,328
UDTRMNTLCTD,335
YEGMJEVR,427
UDPRWDYAWNS,330
UDTRMNTLPRB,334
YEGMJMO,427
UDPRWORKPRB,327
UDTRNEEDMOR,333
YEGPKCIG,427
UDPRWSHSTOP,325
UDTRNOTSTOP,333
YEHMSLYR,419
UDSTAVOIDWD,346
UDTRSTOPACT,335
YELSTGRD,420
UDSTAVWCOCN,346
UDTRSTRURGE,332
YEOTHACT,432
UDSTAVWMETH,346
UDTRTIMEGET,332
YEPALDLY,426
UDSTAVWOTHR,347
UDTRTIMEUSE,331
YEPCHKHW,422
UDSTAVWSTIM,346
UDTRTRYSTOP,333
YEPCHORE,423
UDSTFMLYCTD,344
UDTRWANTBAD,332
YEPGDJOB,423
UDSTFMLYPRB,343
UDTRWDFLANX,338
YEPHLPHW,422
UDSTGETHURT,344
UDTRWDHALUC,337
YEPLMTSN,423
UDSTHLTHCTD,342
UDTRWDSITST,338
YEPLMTTV,423
UDSTHLTHPRB,342
UDTRWDSLEEP,337
YEPMJEVR,426
UDSTLESSEFF,341
UDTRWDSWEAT,336
YEPMJMO,426
UDSTLRGAMTS,340
UDTRWDTRMBL,337
YEPPKCIG,426
UDSTMNTLCTD,342
UDTRWDVOMIT,337
YEPPROUD,424
UDSTMNTLPRB,342
UDTRWORKPRB,335
YEPRBSLV,430
UDSTNEEDMOR,340
UDTRWSHSTOP,334
YEPRGSTD,431
UDSTNOTSTOP,341
UDYR5PNRANY,370
YEPRTDNG,430
UDSTSTOPACT,343
UDYR5SEDANY,370
YEPVNTYR,433
UDSTSTRURGE,340
UDYR5STMANY,371
YERLDCSN,433
UDSTTIMEGET,339
UDYR5TRQANY,371
YERLFRND,434
UDSTTIMEUSE,339
VEREP,4
YERLGIMP,433
UDSTTRYSTOP,341
VESTR_C,4
YERLGSVC,433
UDSTWANTBAD,340
WHODASDAED,452
YESCHACT,431
UDSTWDDREAM,345
WHODASDASC,463
YESCHFLT,419
UDSTWDFLBLU,344
WHODASSCED,452
YESCHIMP,420
UDSTWDHNGRY,345
WHODASTOTSC,463
YESCHINT,420
UDSTWDSITST,345
WRK35WKUS,22
YESCHWRK,419
UDSTWDSLEEP,345
WRKDHRSWK2,21
YESLFHLP,430
Codebook Creation Date: 10/19/2023,570
