variable_name,description
AALTMDE,"The following variable, AALTMDE, indicates whether an adult reported seeing or talking to an alternative service professional about MDE in the past year. Adults were classified as having seen or talked to an alternative service professional, AALTMDE=1, if they reported seeing or talking to any of the following professionals: religious or spiritual advisor (ARELMDE=1); or herbalist, chiropractor, acupuncturist, or massage therapist (AHBCHMDE=1). Respondents were classified as having not seen or talked to an alternative service professional, AALTMDE=0, if they reported not seeing or talking to all of the professionals listed above (source variable=0)."
ADWRGROW,Did you gain weight without trying to because you were growing?
AOMHMDE,
ACOUNMDE,
ADWRHRS,"Think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent. During those times, how long did your [FEELNOUN] usually last?"
APPDRGMON,"In the past 30 days, has anyone approached you to sell you an illegal drug?"
ACTD2001,When did you serve on active duty in the United States Armed Forces or Reserve components? Just give me the number or numbers from the card.
ADWRIMP,"Once again, please think of times lasting two weeks or longer when [NUMPROBS] with your mood [WASWERE] most severe and frequent. How often, during those times, was your emotional distress so severe that you could not carry out your daily activities?"
APPDRGMON2,
ACTD7590,
ADWRJINO,Did anyone else notice that you were restless?
APSY1MDE,
ACTD9001,
ADWRJITT,Were you so restless or jittery nearly every day that you paced up and down or couldn't sit still?
APSY2MDE,
ACTDEVER,"Have you ever served on active duty in the United States Armed Forces or Reserve components? Active duty does not include training for the Reserves or National Guard, but does include activation, for example, for a national emergency or military conflict."
ADWRLOSE,Did you lose weight without trying to?
ARELMDE,
ACTDPRIV,
ADWRLSIN,"During that [TIMEFILL] period of time, did you lose interest in almost all things like work and hobbies and things you like to do for fun?"
ARGUPAR,
ACTDVIET,
ADWRLSL2,How many pounds did you lose? Please enter your answer as a whole number.
ARXMDEYR,
AD_MDEA1,
ADWRNOGD,Did you feel that you were not as good as other people nearly every day?
ASDSHOM2,"NOTE: The following four variables make up the four role domains (home management, work, close relationships with others, and social life) of the Sheehan Disability Scale (SDS), which measures the impact of a disorder on an adult's life."
AD_MDEA2,
ADWRPLSR,"During that [TIMEFILL] period of time, did you lose the ability to take pleasure in having good things happen to you, like winning something or being praised or complimented?"
ASDSREL2,
AD_MDEA3,
ADWRPREG,Did you gain weight without trying to because you were pregnant?
ASDSSOC2,
AD_MDEA4,
ADWRPROB,Think again about these other problems we just mentioned. They include things like changes in - sleep - appetite - energy - the ability to concentrate and remember - feelings of low self-worth Please think of a time when you [FEELFILL] for two weeks or longer and you also had the largest number of these other problems at the same time. Is there one particular time like this that stands out in your mind as the worst one you ever had?
ASDSWRK2,
AD_MDEA5,
ADWRSLEP,"Again, please think about the period of time/most recent period of time when your [FEELNOUN] and other problems were the worst. Did you have a lot more trouble than usual falling asleep, staying asleep, or waking too early nearly every night during that [TIMEFILL] period of time?"
ASOCMDE,
AD_MDEA6,
ADWRSLNO,Did anyone else notice that you were talking or moving slowly?
