variable_name,description
SMKLSSMON,
STNDALC,
SUTUNFORCE,You thought you would be forced to stay in rehab or treatment against your will.
SMKLSSREC,"NOTE: This variable incorporates values from the two questions shown below. This variable also incorporates values from two probe questions that were asked when the respondent answered DON'T KNOW or REFUSED to the second question shown below. Now think about the past 30 days -- that is, from [DATEFILL] up to and including today. During the past 30 days, have you used smokeless tobacco, even once? How long has it been since you last used smokeless tobacco?"
STNDDNK,
SUTUNHNDL,You thought you should have been able to handle your alcohol or drug use on your own.
SMKLSSTRY,How old were you the first time you used smokeless tobacco?
STNDSCIG,
SUTUNINSCV,You did not have health insurance coverage for alcohol or drug use treatment.
SMKLSSYFU,Did you first use smokeless tobacco in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you first use smokeless tobacco in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you first use smokeless tobacco?
STNDSMJ,
SUTUNNOFND,You could not find a treatment program or health care professional you wanted to go to.
SMKLSSYR,
SUICTHNK,"The next few questions are about thoughts of suicide. At any time in the past 12 months, that is from [DATEFILL] up to and including today, did you seriously think about trying to kill yourself?"
SUTUNNOHLP,You didn’t think treatment would help you.
SMKMOLAST,"In what month in [CURRENT YEAR] did you last use ""smokeless"" tobacco? In what month in [YEAR FROM LU05a or LU05b] did you last use ""smokeless"" tobacco?"
SUIPLANYR,"During the past 12 months, did you make any plans to kill yourself?"
SUTUNNOOPN,There were no openings in the treatment program or with the health care professional you wanted to go to.
SMKYRLAST,"Did you last use ""smokeless"" tobacco in [CURRENT YEAR - 1] or [CURRENT YEAR]? Did you last use ""smokeless"" tobacco in [CURRENT YEAR - 2] or [CURRENT YEAR - 1]? In what month in [CURRENT YEAR] did you last use ""smokeless"" tobacco?"
SUNTCARE,
SUTUNPRIV,You were worried that your information would not be kept private.
SMMIPY,"The following variable, SMMIPY, is an indicator for Serious or Moderate Mental Illness (SMMI) based on the 2012 predicted probability of SMI (SMIPPPY). If SMIPPPY is greater than or equal to a specified cutoff point (0.077686285365) then SMMIPY=1, and if SMIPPPY is less than the cutoff point then SMMIPY=0. Specific details about this variable can be found in the Recoded Mental Health Appendix."
SUNTCONSQ,
SUTUNPROBS,"You had problems with things like transportation, childcare, or getting appointments at times that worked for you."
SNFAMJEV,How do you feel about adults trying marijuana or any cannabis product once or twice?
SUNTCOST,NOTE: The following 18 variables describe reasons the respondent did not receive substance use treatment. These variables are defined for respondents who did not receive substance use treatment in the past year and who either sought treatment or did not indicate they sought treatment but thought they should get treatment in the past year.
SUTUNPTHNK,You were worried about what people would think or say if you got treatment.
SNRLDCSN,Your religious beliefs influence how you make decisions in your life.
SUNTENCV,
SUTUNQUIT,You were not ready to stop or cut back using alcohol or drugs.
SNRLFRND,It is important that your friends share your religious beliefs.
SUNTFFLKE,
SUTUNSTART,You were not ready to start treatment.
SNRLGIMP,"These next questions are about the role that religious beliefs may play in your life. For each statement, please indicate whether you strongly disagree, disagree, agree, or strongly agree. Your religious beliefs are a very important part of your life."
SUNTFORCE,
SUTUNTIME,You didn’t have enough time for treatment.
SNRLGSVC,"During the past 12 months, how many times did you attend religious services? Please do not include special occasions such as weddings, funerals, or other special events in your answer."
SUNTHNDL,
SUTUNWHER,You did not know how or where to get treatment.
SNYATTAK,"During the past 12 months, how many times have you attacked someone with the intent to seriously hurt them?"
SUNTINSCV,
SVBZOANYYR,"The following variable for any past year use of Any Benzodiazepines Sedatives, SVBZOANYYR, was assigned a positive response if a respondent indicated any past year use of Benzodiazepine Sedatives or past year misuse of Benzodiazepine Sedatives that were specified as other Sedatives."
SNYSELL,"The values in this section may be inconsistent with values for variables in other sections of the interview. Items in this section were edited when respondents legitimately skipped out of these items based on prior answers in earlier sections. Otherwise, variables in one section of the interview generally were not edited to make them consistent with variables in another section of the interview. This note applies to variables in this section marked by a1. The next questions are about things you might or might not have done recently. During the past 12 months, how many times have you sold illegal drugs?"
SUNTNOFND,
SVBZONMYR,"The following variable for past year misuse of Any Benzodiazepines Sedatives, SVBZONMYR, was assigned a positive response if a respondent indicated any past year misuse of Benzodiazepine Sedatives or past year misuse of Benzodiazepine Sedatives that were specified as other Sedatives."
SNYSTOLE,"During the past 12 months, how many times have you stolen or tried to steal anything worth more than $50?"
SUNTNOHLP,
SVYRCNSANY,
SOLVENEVER,
SUNTNOOPN,
SVYRDUDANY,"(IRPYSEV5COC, IRPYSEV5HAL, IRPYSEV5HER, IRPYSEV5INH, IRPYSEV5MRJ, IRPYSEV5MTH, SEVYRPNRANY, SEVYRSEDANY,"
