Question_Code,Short_Description,Related_Variables,Answer_code,Answer_meaning,Long_Description
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,1,Segment in a CBSA with 1 million or more persons,The variable PDEN10 is based on 2010 Census data and the December 2009 Core Based Statistical Area classifications provided by the Office of Management and Budget (OMB).
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,2,Segm. in a CBSA with fewer than 1 million persons,The variable PDEN10 is based on 2010 Census data and the December 2009 Core Based Statistical Area classifications provided by the Office of Management and Budget (OMB).
PDEN10,POPULATION DENSITY 2010 - THREE LEVELS,,3,Segment not in a CBSA,The variable PDEN10 is based on 2010 Census data and the December 2009 Core Based Statistical Area classifications provided by the Office of Management and Budget (OMB).
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,1,Large Metro,NOTE: COUTYP4 is recoded based on the 2013 Rural/Urban Continuum Codes.
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,2,Small Metro,NOTE: COUTYP4 is recoded based on the 2013 Rural/Urban Continuum Codes.
COUTYP4,COUNTY METRO/NONMETRO STATUS (2013 3-LEVEL),,3,Nonmetro,NOTE: COUTYP4 is recoded based on the 2013 Rural/Urban Continuum Codes.
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,,1,Segment in an American Indian area,"The Census provides data for five types of American Indian areas (AIAs): • Federally-recognized American Indian reservations (AIRs) and off-reservation trust land areas – areas that have been set aside by the U.S. for the use of American Indian tribes. The tribes have primary governmental authority over the AIRs and associated off-reservation trust lands. Federal AIRs may cross State and all other area boundaries. • State-recognized American Indian Reservations (SAIRs) - reservations established by some State governments for tribes recognized by the State. The tribes may have governmental authority over the SAIRs. SAIRs must be defined within a single State but may cross county and other types of boundaries. • Oklahoma tribal statistical areas (OTSAs) - areas intended to represent the former American Indian reservations that existed in Indian and Oklahoma territories prior to Oklahoma statehood in 1907. OTSAs are contained within the State of Oklahoma but may cross all other area boundaries. • Tribal designated statistical areas (TDSAs) - areas identified and delineated for federally-recognized American Indian tribes that do not currently have an AIR or off-reservation trust land. A TDSA is intended to encompass a compact and contiguous area that contains a concentration of individuals who identify with the delineating federally-recognized American Indian tribe. TDSAs may cross State and all other area boundaries. • State designated tribal statistical areas (SDTSAs) - areas identified and delineated for State-recognized tribes that are not federally- recognized and do not have an AIR or off-reservation trust land. SDTSAs provide State-recognized tribes without reservations statistical data for a geographic area that encompasses a substantial concentration of tribal members. SDTSAs must be defined within a single State but may cross county and other types of boundaries. The AIAs are mutually exclusive, i.e., no AIA can overlap another AIA. In cases where more than one tribe claims jurisdiction over an area, the Census Bureau creates a joint-use area as a separate entity to define this area of dual claims. Some NSDUH segments can cross more than one AIA. In order to assign a single AIA to a segment, a ‘majority’ AIA variable was created by summing the total number of dwelling units within each of the AIAs within the segment and then assigning the AIA with the most dwelling units to that segment. The resulting 'majority' AIAs were summarized to form MAIIN102. MAIIN102 is based on 2010 census data."
MAIIN102,MAJORITY AMER INDIAN AREA INDICATOR FOR SEGMENT,,2,Segment not in an American Indian area,"The Census provides data for five types of American Indian areas (AIAs): • Federally-recognized American Indian reservations (AIRs) and off-reservation trust land areas – areas that have been set aside by the U.S. for the use of American Indian tribes. The tribes have primary governmental authority over the AIRs and associated off-reservation trust lands. Federal AIRs may cross State and all other area boundaries. • State-recognized American Indian Reservations (SAIRs) - reservations established by some State governments for tribes recognized by the State. The tribes may have governmental authority over the SAIRs. SAIRs must be defined within a single State but may cross county and other types of boundaries. • Oklahoma tribal statistical areas (OTSAs) - areas intended to represent the former American Indian reservations that existed in Indian and Oklahoma territories prior to Oklahoma statehood in 1907. OTSAs are contained within the State of Oklahoma but may cross all other area boundaries. • Tribal designated statistical areas (TDSAs) - areas identified and delineated for federally-recognized American Indian tribes that do not currently have an AIR or off-reservation trust land. A TDSA is intended to encompass a compact and contiguous area that contains a concentration of individuals who identify with the delineating federally-recognized American Indian tribe. TDSAs may cross State and all other area boundaries. • State designated tribal statistical areas (SDTSAs) - areas identified and delineated for State-recognized tribes that are not federally- recognized and do not have an AIR or off-reservation trust land. SDTSAs provide State-recognized tribes without reservations statistical data for a geographic area that encompasses a substantial concentration of tribal members. SDTSAs must be defined within a single State but may cross county and other types of boundaries. The AIAs are mutually exclusive, i.e., no AIA can overlap another AIA. In cases where more than one tribe claims jurisdiction over an area, the Census Bureau creates a joint-use area as a separate entity to define this area of dual claims. Some NSDUH segments can cross more than one AIA. In order to assign a single AIA to a segment, a ‘majority’ AIA variable was created by summing the total number of dwelling units within each of the AIAs within the segment and then assigning the AIA with the most dwelling units to that segment. The resulting 'majority' AIAs were summarized to form MAIIN102. MAIIN102 is based on 2010 census data."
AIIND102,AMER INDIAN AREA INDICATOR,,1,Census block in an American Indian area,"The Census provides data for five types of American Indian areas (AIAs): • Federally-recognized American Indian reservations (AIRs) and off-reservation trust land areas – areas that have been set aside by the U.S. for the use of American Indian tribes. The tribes have primary governmental authority over the AIRs and associated off-reservation trust lands. Federal AIRs may cross State and all other area boundaries. • State-recognized American Indian Reservations (SAIRs) - reservations established by some State governments for tribes recognized by the State. The tribes may have governmental authority over the SAIRs. SAIRs must be defined within a single State but may cross county and other types of boundaries. • Oklahoma tribal statistical areas (OTSAs) - areas intended to represent the former American Indian reservations that existed in Indian and Oklahoma territories prior to Oklahoma statehood in 1907. OTSAs are contained within the State of Oklahoma but may cross all other area boundaries. • Tribal designated statistical areas (TDSAs) - areas identified and delineated for federally-recognized American Indian tribes that do not currently have an AIR or off-reservation trust land. A TDSA is intended to encompass a compact and contiguous area that contains a concentration of individuals who identify with the delineating federally-recognized American Indian tribe. TDSAs may cross State and all other area boundaries. • State designated tribal statistical areas (SDTSAs) - areas identified and delineated for State-recognized tribes that are not federally- recognized and do not have an AIR or off-reservation trust land. SDTSAs provide State-recognized tribes without reservations statistical data for a geographic area that encompasses a substantial concentration of tribal members. SDTSAs must be defined within a single State but may cross county and other types of boundaries. The AIAs are mutually exclusive, i.e., no AIA can overlap another AIA. In cases where more than one tribe claims jurisdiction over an area, the Census Bureau creates a joint-use area as a separate entity to define this area of dual claims. The variable AIIND102 is based on 2010 census data and is defined by mapping the census block in which a respondent resides to the 2010 census file."
AIIND102,AMER INDIAN AREA INDICATOR,,2,Census block not in an American Indian area,"The Census provides data for five types of American Indian areas (AIAs): • Federally-recognized American Indian reservations (AIRs) and off-reservation trust land areas – areas that have been set aside by the U.S. for the use of American Indian tribes. The tribes have primary governmental authority over the AIRs and associated off-reservation trust lands. Federal AIRs may cross State and all other area boundaries. • State-recognized American Indian Reservations (SAIRs) - reservations established by some State governments for tribes recognized by the State. The tribes may have governmental authority over the SAIRs. SAIRs must be defined within a single State but may cross county and other types of boundaries. • Oklahoma tribal statistical areas (OTSAs) - areas intended to represent the former American Indian reservations that existed in Indian and Oklahoma territories prior to Oklahoma statehood in 1907. OTSAs are contained within the State of Oklahoma but may cross all other area boundaries. • Tribal designated statistical areas (TDSAs) - areas identified and delineated for federally-recognized American Indian tribes that do not currently have an AIR or off-reservation trust land. A TDSA is intended to encompass a compact and contiguous area that contains a concentration of individuals who identify with the delineating federally-recognized American Indian tribe. TDSAs may cross State and all other area boundaries. • State designated tribal statistical areas (SDTSAs) - areas identified and delineated for State-recognized tribes that are not federally- recognized and do not have an AIR or off-reservation trust land. SDTSAs provide State-recognized tribes without reservations statistical data for a geographic area that encompasses a substantial concentration of tribal members. SDTSAs must be defined within a single State but may cross county and other types of boundaries. The AIAs are mutually exclusive, i.e., no AIA can overlap another AIA. In cases where more than one tribe claims jurisdiction over an area, the Census Bureau creates a joint-use area as a separate entity to define this area of dual claims. The variable AIIND102 is based on 2010 census data and is defined by mapping the census block in which a respondent resides to the 2010 census file."
